number,song name,artist,year,genre,lyrics,view record
1,thinking out loud,ed sheeran,2014,Pop,whenyourlegsdontworkliketheyusedtobeforeandicantsweepyouoffofyourfeetwillyourmouthstillrememberthetasteofmylovewillyoureyesstillsmilefromyourcheeksanddarlingiwillbelovingyoutilwere70andbabymyheartcouldstillfallashardat23andimthinkingbouthowpeoplefallinloveinmysteriouswaysmaybejustthetouchofahandohmeifallinlovewithyoueverysingledayandijustwannatellyouiamsohoneynowtakemeintoyourlovingarmskissmeunderthelightofathousandstarsplaceyourheadonmybeatingheartimthinkingoutloudmaybewefoundloverightwherewearewhenmyhairsallbutgoneandmymemoryfadesandthecrowdsdontremembermynamewhenmyhandsdontplaythestringsthesamewaymmiknowyouwillstilllovemethesamecausehoneyyoursoulcannevergrowolditsevergreenbabyyoursmilesforeverinmymindandmemoryimthinkingbouthowpeoplefallinloveinmysteriouswaysmaybeitsallpartofaplanilljustkeeponmakingthesamemistakeshopingthatyoullunderstandbutbabynowtakemeintoyourlovingarmskissmeunderthelightofathousandstarsplaceyourheadonmybeatingheartimthinkingoutloudthatmaybewefoundloverightwhereweareohsobabynowtakemeintoyourlovingarmskissmeunderthelightofathousandstarsohdarlingplaceyourheadonmybeatingheartimthinkingoutloudthatmaybewefoundloverightwhereweareohbabywefoundloverightwherewearemaybeandwefoundloverightwhereweareandnowmybedsheetssmelllikeyoueverydaydiscoveringsomethingbrandnewiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyeverydaydiscoveringsomethingbrandnewiminlovewiththeshapeofyoucomeonbemybabycomeoncomeonbemybabycomeoncomeonbemybabycomeoncomeonbemybabycomeoncomeonbemybabycomecomeonbemybabycomeoncomeonbemybabycomeoncomeonbemybabycomeoniminlovewiththeshapeofyouwepushandpulllikeamagnetdoalthoughmyheartisfallingtooiminlovewithyourbodyandlastnightyouwereinmyroomandnowmybedsheetssmelllikeyoueverydaydiscoveringsomethingbrandnewiminlovewithyourbodycomeonbemybabycomeoncomeoniminlovewithyourbodybemybabycomeoncomeonbemybabycomeoncomeoniminlovewithyourbodybemybabycomeoncomeonbemybabycomeoncomeoniminlovewithyourbodybemybabycomeoneverydaydiscoveringsomethingbrandnewiminlovewiththeshapeofy,"3,686,142,992"
2,shape of you,ed sheeran,2017,Pop,theclubisntthebestplacetofindaloversothebariswhereigomeandmyfriendsatthetabledoingshotsdrinkingfastandthenwetalkslowcomeoverandstartupaconversationwithjustmeandtrustmeillgiveitachancenowtakemyhandstopputvanthemanonthejukeboxandthenwestarttodanceandnowimsinginglikegirlyouknowiwantyourloveyourlovewashandmadeforsomebodylikemecomeonnowfollowmyleadimaybecrazydontmindmesayboyletsnottalktoomuchgrabonmywaistandputthatbodyonmecomeonnowfollowmyleadcomecomeonnowfollowmyleadiminlovewiththeshapeofyouwepushandpulllikeamagnetdoalthoughmyheartisfallingtooiminlovewithyourbodyandlastnightyouwereinmyroomandnowmybedsheetssmelllikeyoueverydaydiscoveringsomethingbrandnewiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyeverydaydiscoveringsomethingbrandnewiminlovewiththeshapeofyouoneweekinweletthestorybeginweregoingoutonourfirstdateyouandmearethriftysogoallyoucaneatfillupyourbagandifillupaplatewetalkforhoursandhoursaboutthesweetandthesourandhowyourfamilyisdoingokayandleaveandgetinataxithenkissinthebackseattellthedrivermaketheradioplayandimsinginglikegirlyouknowiwantyourloveyourlovewashandmadeforsomebodylikemecomeonnowfollowmyleadimaybecrazydontmindmesayboyletsnottalktoomuchgrabonmywaistandputthatbodyonmecomeonnowfollowmyleadcomecomeonnowfollowmyleadiminlovewiththeshapeofyouwepushandpulllikeamagnetdoalthoughmyheartisfallingtooiminlovewithyourbodyandlastnightyouwereinmyroomandnowmybedsheetssmelllikeyoueverydaydiscoveringsomethingbrandnewiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyeverydaydiscoveringsomethingbrandnewiminlovewiththeshapeofyoucomeonbemybabycomeoncomeonbemybabycomeoncomeonbemybabycomeoncomeonbemybabycomeoncomeonbemybabycomecomeonbemybabycomeoncomeonbemybabycomeoncomeonbemybabycomeoniminlovewiththeshapeofyouwepushandpulllikeamagnetdoalthoughmyheartisfallingtooiminlovewithyourbodyandlastnightyouwereinmyroomandnowmybedsheetssmelllikeyoueverydaydiscoveringsomethingbrandnewiminlovewithyourbodycomeonbemybabycomeoncomeoniminlovewithyourbodybemybabycomeoncomeonbemybabycomeoncomeoniminlovewithyourbodybemybabycomeoncomeonbemybabycomeoncomeoniminlovewithyourbodybemybabycomeoneverydaydiscoveringsomethingbrandnewiminlovewiththeshapeofy,"6,127,546,953"
3,the a team,ed sheeran,2011,Pop/Folk,whitelipspalefacebreathininthesnowflakesburntlungssourtastelightsgonedaysendstrugglingtopayrentlongnightsstrangemenandtheysayshesintheclassateamstuckinherdaydreambeenthiswaysinceeighteenbutlatelyherfaceseemsslowlysinkingwastingcrumblinglikepastriesandtheyscreamtheworstthingsinlifecomefreetouscausewerejustundertheupperhandandgomadforacouplegramsandshedontwannagooutsidetonightandinapipeshefliestothemotherlandorsellslovetoanothermanitstoocoldoutsideforangelstoflyangelstoflyrippedglovesraincoattriedtoswimandstayafloatdryhousewetclothesloosechangebanknoteswearyeyeddrythroatcallgirlnophoneandtheysayshesintheclassateamstuckinherdaydreambeenthiswaysinceeighteenbutlatelyherfaceseemsslowlysinkingwastingcrumblinglikepastriesandtheyscreamtheworstthingsinlifecomefreetouscausewerejustundertheupperhandandgomadforacouplegramsbutshedontwannagooutsidetonightandinapipeshefliestothemotherlandorsellslovetoanothermanitstoocoldoutsideforangelstoflyanangelwilldiecoveredinwhiteclosedeyesandhopinforabetterlifethistimewellfadeouttonightstraightdownthelineandtheysayshesintheclassateamstuckinherdaydreambeenthiswaysinceeighteenbutlatelyherfaceseemsslowlysinkingwastingcrumblinglikepastriesandtheyscreamtheworstthingsinlifecomefreetousandwereallundertheupperhandandgomadforacouplegramsandwedontwannagooutsidetonightandinapipeweflytothemotherlandorselllovetoanothermanitstoocoldoutsideforangelstoflyangelstoflyflyflyforangelstoflytoflytoflyforangelstodi,"365,901,984"
4,photograph,ed sheeran,2015,Pop,lovingcanhurtlovingcanhurtsometimesbutitstheonlythingthatiknowwhenitgetshardyouknowitcangethardsometimesitistheonlythingthatmakesusfeelalivewekeepthisloveinaphotographwemadethesememoriesforourselveswhereoureyesareneverclosingheartsareneverbrokentimesforeverfrozenstillsoyoucankeepmeinsidethepocketofyourrippedjeansholdingmeclosertiloureyesmeetyouwonteverbealonewaitformetocomehomelovingcanheallovingcanmendyoursoulanditstheonlythingthatiknowknowiswearitwillgeteasierrememberthatwitheverypieceofyaanditstheonlythingwetakewithuswhenwediewekeepthisloveinaphotographwemadethesememoriesforourselveswhereoureyesareneverclosingheartswereneverbrokentimesforeverfrozenstillsoyoucankeepmeinsidethepocketofyourrippedjeansholdingmeclosertiloureyesmeetyouwonteverbealoneandifyouhurtmethatsokbabyonlywordsbleedinsidethesepagesyoujustholdmeandiwonteverletyougowaitformetocomehomewaitformetocomehomewaitformetocomehomewaitformetocomehomeohyoucanfitmeinsidethenecklaceyougotwhenyouweresixteennexttoyourheartbeatwhereishouldbekeepitdeepwithinyoursoulandifyouhurtmewellthatsokbabyonlywordsbleedinsidethesepagesyoujustholdmeandiwonteverletyougowhenimawayiwillrememberhowyoukissedmeunderthelamppostbackon6thstreethearingyouwhisperthroughthephonewaitformetocomehom,"1,337,529,449"
5,bad habits,ed sheeran,2021,Pop,onetwothreefouroohoohoohoohooheverytimeyoucomearoundyouknowicantsaynoeverytimethesungoesdowniletyoutakecontrolicanfeeltheparadisebeforemyworldimplodesandtonighthadsomethingwonderfulmybadhabitsleadtolatenightsendinaloneconversationswithastrangeribarelyknowswearinthiswillbethelastbutitprobablywontigotnothinlefttoloseoruseordomybadhabitsleadtowideeyesstareintospaceandiknowilllosecontrolofthethingsthatisayyeahiwaslookinforawayoutnowicantescapenothinhappensaftertwoitstrueitstruemybadhabitsleadtoyouoohoohoohoohoohmybadhabitsleadtoyouoohoohoohoohoohmybadhabitsleadtoyoueverypureintentionendswhenthegoodtimesstartfallinovereverythingtoreachthefirsttimessparkitstartedunderneonlightsandthenitallgotdarkionlyknowhowtogotoofarmybadhabitsleadtolatenightsendinaloneconversationswithastrangeribarelyknowswearinthiswillbethelastbutitprobablywontigotnothinlefttoloseoruseordomybadhabitsleadtowideeyesstareintospaceandiknowilllosecontrolofthethingsthatisayyeahiwaslookinforawayoutnowicantescapenothinhappensaftertwoitstrueitstruemybadhabitsleadtoyouoohoohoohoohoohmybadhabitsleadtoyouoohoohoohoohoohwetookthelongwayroundandburnedtilthefunranoutnowmybadhabitsleadtolatenightsendinaloneconversationswithastrangeribarelyknowswearinthiswillbethelastbutitprobablywontigotnothinlefttoloseoruseordomybadhabitsleadtowideeyesstareintospaceandiknowilllosecontrolofthethingsthatisayyeahiwaslookinforawayoutnowicantescapenothinhappensaftertwoitstrueitstruemybadhabitsleadtoyouoohoohoohoohoohmybadhabitsleadtoyouoohoohoohoohoohmybadhabitsleadtoy,"558,493,000"
6,castle on the hill,ed sheeran,2017,Pop/Rock,wheniwassixyearsoldibrokemylegwheniwasrunningfrommybrotherandhisfriendsandtastedthesweetperfumeofthemountaingrassirolleddownwelliwasyoungerthentakemebacktowhenifoundmyheartandbrokeitheremadefriendsandlostthemthroughtheyearsandivenotseentheroaringfieldsinsolongiknowivegrownbuticantwaittogohomeimonmywaydrivingat90downthosecountrylanessingingtotinydancerandimissthewayyoumakemefeelanditsrealandwewatchedthesunsetoverthecastleonthehill15yearsoldandsmokinghandrolledcigarettesrunningfromthelawthroughthebackfieldsandgettingdrunkwithmyfriendshadmyfirstkissonafridaynightidontreckonthatididitrightbutiwasyoungerthentakemebacktowhenwefoundweekendjobswhenwegotpaidwedbuycheapspiritsanddrinkthemstraightmeandmyfriendshavenotthrownupinsolongohhowwevegrownbuticantwaittogohomeimonmywayhoohoodrivingat90downthosecountrylaneshoohoosingingtotinydancerandimissthewayyoumakemefeelanditsrealandwewatchedthesunsethoohoooverthecastleonthehillhoohoooverthecastleonthehillhoohoooverthecastleonthehillonefriendlefttosellclothesoneworksdownbythecoastonehadtwokidsbutlivesaloneonesbrotheroverdosedonesalreadyonhissecondwifeonesjustbarelygettingbybutthesepeopleraisedmeandicantwaittogohomeandimonmywayistillremembertheseoldcountrylaneswhenwedidnotknowtheanswersandimissthewayhoohooyoumakemefeelitsrealwhenwewatchedthesunsethoohoooverthecastleonthehillhoohoooverthecastleonthehillhoohoooverthecastleonthehil,"536,518,554"
7,lego house,ed sheeran,2011,Pop,imgonnapickupthepiecesandbuildalegohousewhenthingsgowrongwecanknockitdownmythreewordshavetwomeaningstheresonethingonmyminditsallforyouanditsdarkinacolddecemberbutivegotyatokeepmewarmandifyourebrokenillmendyaandikeepyoushelteredfromthestormäthatsragingonnowimoutoftouchimoutofloveillpickyouupwhenyouregettingdownandoutofallthesethingsivedoneäithinkiloveyoubetternowimoutofsightimoutofmindilldoitallforyouintimeandoutofallthesethingsivedoneäithinkiloveyoubetternownowimgonnapaintyoubynumbersandcoloryouinifthingsgorightwecanframeitandputyouonawallanditssohardtosayitbutivebeenherebeforenowillsurrenderupmyheartandswapitforyoursimoutoftouchimoutofloveillpickyouupwhenyouregettingdownandoutofallthesethingsivedoneithinkiloveyoubetternowimoutofsightimoutofmindilldoitallforyouintimeandoutofallthesethingsivedoneäithinkiloveyoubetternowdontholdmedownithinkmybracesarebreakingäanditsmorethanicantakeanditsdarkinacolddecemberbutivegotyatokeepmewarmifyourebrokeniwillmendyaandikeepyoushelteredfromthestormäthatsragingonnowimoutoftouchimoutofloveillpickyouupwhenyouregettingdownandoutofallthesethingsivedoneäithinkiloveyoubetternowimoutofsightimoutofmindilldoitallforyouintimeandoutofallthesethingsivedoneäithinkiloveyoubetternowimoutoftouchimoutofloveillpickyouupwhenyouregettingdownandoutofallthesethingsivedoneiwillloveyoubetternow,"317,711,240"
8,shivers,ed sheeran,2021,Pop,itookanarrowtotheheartineverkissedamouththattasteslikeyoursstrawberriesandthensomethingmoreoohyeahiwantitalllipstickonmyguitarfilluptheenginewecandriverealfargodancingunderneaththestarsoohyeahiwantitallmmmyougotmefeelinglikeiwannabethatguyiwannakissyoureyesiwannadrinkthatsmileiwannafeellikeilikemysoulsonfireiwannastayupalldayandallnightyeahyougotmesinginglikeoohiloveitwhenyoudoitlikethatandwhenyourecloseupgivemetheshiversohbabyyouwannadancetillthesunlightcracksandwhentheysaythepartysoverthenwellbringitrightbackandwellsayoohiloveitwhenyoudoitlikethatandwhenyourecloseupgivemetheshiversohbabyyouwannadancetillthesunlightcracksandwhentheysaythepartysoverthenwellbringitrightbackintothecaronthebackseatinthemoonlitdarkwrapmeupbetweenyourlegsandarmsoohicantgetenoughyouknowyoucouldtearmeapartputmebacktogetherandtakemyheartineverthoughtthaticouldlovethishardoohicantgetenoughmmmyougotmefeelinglikeiwannabethatguyiwannakissyoureyesiwannadrinkthatsmileiwannafeellikeilikemysoulsonfireiwannastayupalldayandallnightyeahyougotmesinginglikeoohiloveitwhenyoudoitlikethatandwhenyourecloseupgivemetheshiversohbabyyouwannadancetillthesunlightcracksandwhentheysaythepartysoverthenwellbringitrightbackandwellsayoohiloveitwhenyoudoitlikethatandwhenyourecloseupgivemetheshiversohbabyyouwannadancetillthesunlightcracksandwhentheysaythepartysoverthenwellbringitrightbackbabyyouburnsohotyoumakemeshiverwiththefireyougotthisthingwestartedidontwantittostopyouknowyoumakemeshiverererbabyyouburnsohotyoumakemeshiverwiththefireyougotthisthingwestartedidontwantittostopyouknowyoumakemeshiveryeahyougotmesinginglikeoohiloveitwhenyoudoitlikethatandwhenyourecloseupgivemetheshiversohbabyyouwannadancetillthesunlightcracksandwhentheysaythepartysoverthenwellbringitrightbackohnoandwellsayoohiloveitwhenyoudoitlikethatandwhenyourecloseupgivemetheshiversohbabyyouwannadancetillthesunlightcracksandwhentheysaythepartysoverthenwellbringitrightbackhey,"312,815,228"
9,beautiful people,ed sheeran feat khalid,2019,Pop,laonasaturdaynightinthesummersundownandtheyallcomeoutlamborghinisandtheirrentedhummersthepartyåsonsotheyåreheadinådowntownãroundhereeverybodyåslookinåforacomeupandtheywannaknowwhatyouåreaboutmeinthemiddlewiththeoneiloveandweårejusttrynafigureeverythingoutwedonåtfitinwellåcausewearejustourselvesicouldusesomehelpgettinåoutofthisconversationyeahyoulookstunningdearsodonåtaskthatquestionherethisismyonlyfearthatwebecomebeautifulpeopledroptopdesignerclothesfrontrowatfashionshowsåwhatdåyoudoãandåwhodåyouknowãinsidetheworldofbeautifulpeoplechampagneandrolledupnotesprenupsandbrokenhomessurroundedbutstillaloneletåsleavethepartythatåsnotwhowearewearewearewearewearenotbeautifulyeahthatåsnotwhowearewearewearewearewearenotbeautifulbeautifullammmdroveforhourslastnightandwemadeitnowherenowherenowhereiseestarsinyoureyeswhenweårehalfwaythereallnightiåmnotfazedbyallthemlightsandflashinåcamerasãcausewithmyarmsaroundyouthereåsnoneedtocarewedonåtfitinwellwearejustourselvesicouldusesomehelpgettinåoutofthisconversationyeahyoulookstunningdearsodonåtaskthatquestionherethisismyonlyfearthatwebecomebeautifulpeopledroptopdesignerclothesfrontrowatfashionshowsåwhatdåyoudoãandåwhodåyouknowãinsidetheworldofbeautifulpeoplechampagneandrolledupnotesprenupsandbrokenhomessurroundedbutstillaloneletåsleavethepartythatåsnotwhowearewearewearewearewearenotbeautifulyeahyeahthatåsnotwhowearewearewearewearewearenotbeautifulbeautifulwearewearewearewearenotbeauti,"366,656,831"
10,the joker and the queen,ed sheeran feat taylor swift,2021,Pop/Rock,howwasitoknowitsacrazythingishowedyoumyhandandyoustillletmewinandwhowasitosaythatthiswasmeanttobetheroadthatwasbrokenbroughtustogetherandiknowyoucouldfallforathousandkingsandheartsthatwouldgiveyouadiamondringwhenifoldyouseethebestinmethejokerandthequeeniwasupsidedownfromtheoutsideinyoucametothetableandyouwentallinwithasinglewordandagentletouchyouturnedamomentintoforeverandiknowyoucouldfallforathousandkingsandheartsthatcouldgiveyouadiamondringwhenifoldyouseethebestinmethejokerandthequeenandiknowyoucouldfallforathousandkingsandheartsthatwouldgiveyouadiamondringwhenifoldedyousawthebestinmethejokerandthequeenthejokerandqueen,"48,573,264"
