number,song name,artist,year,genre,lyrics,view record
1,Thinking Out Loud,edsheeran,2014,pop,legdontworklikeusebeforcantsweepfeetmouthstillremembtastloveeyestillsmilecheekdarllovetil70babiheartcouldstillfallhard23imthinkboutpeoplfalllovemysteriwaymaybtouchhandohfallloveeverisingldaywannatellhoneytakelovearmkisslightthousandstarplaceheadbeatheartimthinkloudmaybfoundloverighthairgonememorifadecrowddontremembnamehanddontplaystringwaymmknowstilllovecaushoneysoulnevergrowoldevergreenbabismileforevmindmemoriimthinkboutpeoplfalllovemysteriwaymaybpartplanillkeepmakemistakhopeyoullunderstandbabitakelovearmkisslightthousandstarplaceheadbeatheartimthinkloudmaybfoundloverightohbabitakelovearmkisslightthousandstarohdarlplaceheadbeatheartimthinkloudmaybfoundloverightohbabifoundloverightmaybfoundloverightbedsheetsmelllikeeveridaydiscovsomethbrandnewimlovebodiohiohiohiohiimlovebodiohiohiohiohiimlovebodiohiohiohiohiimlovebodieveridaydiscovsomethbrandnewimloveshapecomebabicomecomebabicomecomebabicomecomebabicomecomebabicomecomebabicomecomebabicomecomebabicomeimloveshapepushpulllikemagnetalthoughheartfallimlovebodilastnightroombedsheetsmelllikeeveridaydiscovsomethbrandnewimlovebodicomebabicomecomeimlovebodibabicomecomebabicomecomeimlovebodibabicomecomebabicomecomeimlovebodibabicomeeveridaydiscovsomethbrandnewimloveshape,"3,686,142,992"
2,Shape of You,edsheeran,2017,pop,clubisntbestplacefindloverbargofriendtablshotdrinkfasttalkslowcomestartconverstrustillgivechanctakehandstopputvanmanjukeboxstartdancimsinglikegirlknowwantlovelovewahandmadsomebodilikecomefollowleadmaycrazidontmindsayboylettalkmuchgrabwaistputbodicomefollowleadcomecomefollowleadimloveshapepushpulllikemagnetalthoughheartfallimlovebodilastnightroombedsheetsmelllikeeveridaydiscovsomethbrandnewimlovebodiohiohiohiohiimlovebodiohiohiohiohiimlovebodiohiohiohiohiimlovebodieveridaydiscovsomethbrandnewimloveshapeoneweekletstoribegingofirstdatethriftigoeatfillbagfillplatetalkhourhoursweetsourfamiliokayleavgettaxikissbackseattelldrivermakeradioplayimsinglikegirlknowwantlovelovewahandmadsomebodilikecomefollowleadmaycrazidontmindsayboylettalkmuchgrabwaistputbodicomefollowleadcomecomefollowleadimloveshapepushpulllikemagnetalthoughheartfallimlovebodilastnightroombedsheetsmelllikeeveridaydiscovsomethbrandnewimlovebodiohiohiohiohiimlovebodiohiohiohiohiimlovebodiohiohiohiohiimlovebodieveridaydiscovsomethbrandnewimloveshapecomebabicomecomebabicomecomebabicomecomebabicomecomebabicomecomebabicomecomebabicomecomebabicomeimloveshapepushpulllikemagnetalthoughheartfallimlovebodilastnightroombedsheetsmelllikeeveridaydiscovsomethbrandnewimlovebodicomebabicomecomeimlovebodibabicomecomebabicomecomeimlovebodibabicomecomebabicomecomeimlovebodibabicomeeveridaydiscovsomethbrandnewimloveshape,"6,127,546,953"
3,The A Team,edsheeran,2011,popfolk,whitelippalefacebreathinsnowflakburntlungsourtastlightgonedayendstrugglpayrentlongnightstrangmensayclassteamstuckdaydreamthiwaysinceighteenlatefaceseemslowlisinkwastcrumbllikepastriscreamworstthinglifecomefreeuscausupperhandgomadcouplgramdontwannagooutsidtonightpipeflimotherlandsellloveanothmancoldoutsidangelfliangelfliripgloveraincoattriswimstayafloatdrihouswetclothlooschangbanknotwearyeydrithroatcallgirlphonesayclassteamstuckdaydreamthiwaysinceighteenlatefaceseemslowlisinkwastcrumbllikepastriscreamworstthinglifecomefreeuscausupperhandgomadcouplgramdontwannagooutsidtonightpipeflimotherlandsellloveanothmancoldoutsidangelfliangeldiecoverwhitecloseeyehopinbetterlifethitimewellfadetonightstraightlinesayclassteamstuckdaydreamthiwaysinceighteenlatefaceseemslowlisinkwastcrumbllikepastriscreamworstthinglifecomefreeusupperhandgomadcouplgramdontwannagooutsidtonightpipeflimotherlandsellloveanothmancoldoutsidangelfliangelfliflifliangelfliflifliangeldie,"365,901,984"
4,Photograph,edsheeran,2015,pop,lovehurtlovehurtsometimonlithingknowgethardknowgethardsometimonlithingmakeusfeelalivewkeepthilovephotographmadememoriourselveyenevercloseheartneverbrokentimeforevfrozenstillkeepinsidpocketripjeanholdclosertileyemeetwonteveralonwaitcomehomeloveheallovemendsoulonlithingknowknowsweargeteasierremembeveripiecyaonlithingtakeusdiekeepthilovephotographmadememoriourselveyenevercloseheartneverbrokentimeforevfrozenstillkeepinsidpocketripjeanholdclosertileyemeetwonteveralonhurtokbabionliwordbleedinsidpageholdwonteverletgowaitcomehomewaitcomehomewaitcomehomewaitcomehomeohfitinsidnecklacgotsixteennextheartbeatkeepdeepwithinsoulhurtwellokbabionliwordbleedinsidpageholdwonteverletgoimawayremembkisslamppostback6thstreethearwhisperphonewaitcomehome,"1,337,529,449"
5,Bad habits,edsheeran,2021,pop,onetwothreefouroohoohoohoohooheveritimecomearoundknowcantsayeveritimesungoelettakecontrolfeelparadisbeforworldimplodtonightsomethwonderbadhabitleadlatenightendinalonconversstrangerbareknowswearinthilastprobablwontgotnothinleftloseusebadhabitleadwideeyestarespaceknowilllosecontrolthingsayyeahwalookinwaycantescapnothinhappentwotruetruebadhabitleadoohoohoohoohoohbadhabitleadoohoohoohoohoohbadhabitleadeveripureintentendgoodtimestartfallineverythreachfirsttimesparkstartneonlightgotdarkonliknowgofarbadhabitleadlatenightendinalonconversstrangerbareknowswearinthilastprobablwontgotnothinleftloseusebadhabitleadwideeyestarespaceknowilllosecontrolthingsayyeahwalookinwaycantescapnothinhappentwotruetruebadhabitleadoohoohoohoohoohbadhabitleadoohoohoohoohoohtooklongwayroundburntilfunranbadhabitleadlatenightendinalonconversstrangerbareknowswearinthilastprobablwontgotnothinleftloseusebadhabitleadwideeyestarespaceknowilllosecontrolthingsayyeahwalookinwaycantescapnothinhappentwotruetruebadhabitleadoohoohoohoohoohbadhabitleadoohoohoohoohoohbadhabitlead,"558,493,000"
6,Castle on the Hill,edsheeran,2017,poprock,wasixyearoldbrokelegwarunbrotherhifriendtastsweetperfummountaingrassrollwellwayoungertakebackfoundheartbrokemadefriendlostyeariveseenroarfieldlongknowivegrowncantwaitgohomeimwaydrive90countrilanesingtinidancermisswaymakefeelrealwatchsunsetcastlhill15yearoldsmokehandrolcigarettrunlawbackfieldgetdrunkfriendfirstkissfridaynightdontreckonrightwayoungertakebackfoundweekendjobgotpaidwedbuycheapspiritdrinkstraightfriendthrownlongohwevegrowncantwaitgohomeimwayhoohoodrive90countrilanehoohoosingtinidancermisswaymakefeelrealwatchsunsethoohoocastlhillhoohoocastlhillhoohoocastlhillonefriendleftsellclothoneworkcoastonetwokidlivealononebrotheroverdosonealreadihisecondwifeonebaregetpeoplraiscantwaitgohomeimwaystillrememboldcountrilaneknowanswermisswayhoohoomakefeelrealwatchsunsethoohoocastlhillhoohoocastlhillhoohoocastlhill,"536,518,554"
7,Lego House,edsheeran,2011,pop,imgonnapickpiecbuildlegohousthinggowrongknockthreewordtwomeanonethingminddarkcolddecembivegotyakeepwarmbrokenillmendyakeepshelterstormärageimtouchimloveillpickgetthingivedoneäthinklovebetterimsightimmindilltimethingivedoneäthinklovebetterimgonnapaintnumbercolorthinggorightframeputwallhardsayivebeforillsurrendheartswapimtouchimloveillpickgetthingivedonethinklovebetterimsightimmindilltimethingivedoneäthinklovebetterdontholdthinkbracebreakingätakedarkcolddecembivegotyakeepwarmbrokenmendyakeepshelterstormärageimtouchimloveillpickgetthingivedoneäthinklovebetterimsightimmindilltimethingivedoneäthinklovebetterimtouchimloveillpickgetthingivedonelovebetter,"317,711,240"
8,Shivers,edsheeran,2021,pop,tookarrowheartneverkissmouthtastlikestrawberrisomethoohyeahwantlipstickguitarfillengindriverealfargodancunderneathstaroohyeahwantmmmgotfeellikewannaguywannakisseyewannadrinksmilewannafeellikelikesoulfirewannastaydaynightyeahgotsinglikeoohlovelikeclosegiveshiverohbabiwannadanctillsunlightcracksaypartiwellbringrightbackwellsayoohlovelikeclosegiveshiverohbabiwannadanctillsunlightcracksaypartiwellbringrightbackcarbackseatmoonlitdarkwraplegarmoohcantgetenoughknowcouldtearapartputbacktogethtakeheartneverthoughtcouldlovethihardoohcantgetenoughmmmgotfeellikewannaguywannakisseyewannadrinksmilewannafeellikelikesoulfirewannastaydaynightyeahgotsinglikeoohlovelikeclosegiveshiverohbabiwannadanctillsunlightcracksaypartiwellbringrightbackwellsayoohlovelikeclosegiveshiverohbabiwannadanctillsunlightcracksaypartiwellbringrightbackbabiburnhotmakeshiverfiregotthithingstartdontwantstopknowmakeshivererbabiburnhotmakeshiverfiregotthithingstartdontwantstopknowmakeshiveryeahgotsinglikeoohlovelikeclosegiveshiverohbabiwannadanctillsunlightcracksaypartiwellbringrightbackohwellsayoohlovelikeclosegiveshiverohbabiwannadanctillsunlightcracksaypartiwellbringrightbackhey,"312,815,228"
9,Beautiful People,edsheeranfeatkhalid,2019,pop,lasaturdaynightsummersundowncomelamborghinirenthummerpartyåtheyårheadinådowntownãroundeverybodyålookinåcomewannaknowyouårmiddloneloveweårtrynafigureverythdonåtfitwellåcausourselvcouldusehelpgettinåthiconversyeahlookstundeardonåtaskquestionthionlifearbecombeautipeopldroptopdesignclothfrontrowfashionshowåwhatdåyoudoãåwhodåyouknowãinsidworldbeautipeoplchampagnrolledupnoteprenupbrokenhomesurroundstillalonletåleavpartithatåbeautiyeahthatåbeautibeautilammmdrovehourlastnightmadenowhernowhernowherseestareyeweårhalfwaynightiåmfazelightflashinåcameraãcausarmaroundthereåneedcaredonåtfitwellourselvcouldusehelpgettinåthiconversyeahlookstundeardonåtaskquestionthionlifearbecombeautipeopldroptopdesignclothfrontrowfashionshowåwhatdåyoudoãåwhodåyouknowãinsidworldbeautipeoplchampagnrolledupnoteprenupbrokenhomesurroundstillalonletåleavpartithatåbeautiyeahyeahthatåbeautibeautibeauti,"366,656,831"
10,The Joker and the Queen,edsheeranfeattaylorswift,2021,poprock,waknowcrazithingshowhandstillletwinwasaythiwameantroadwabrokenbroughtustogethknowcouldfallthousandkingheartwouldgivediamondringfoldseebestjokerqueenwaupsidoutsidcametablwentsinglwordgentltouchturnmomentforevknowcouldfallthousandkingheartcouldgivediamondringfoldseebestjokerqueenknowcouldfallthousandkingheartwouldgivediamondringfoldsawbestjokerqueenjokerqueen,"48,573,264"
