number,song_name,artist,year,genre,lyrics,view_record
2,Shape of You,Ed Sheeran,2017,Pop,"The club isn't the best place to find a lover. So the bar is where I go. Me and my friends at the table doing shots. Drinking fast and then we talk slow. Come over and start up a conversation with just me. And trust me I'll give it a chance now. Take my hand, stop, put Van the Man on the jukebox. And then we start to dance, and now I'm singing like. Girl, you know I want your love. Your love was handmade for somebody like me. Come on now, follow my lead. I may be crazy, don't mind me. Say, boy, let's not talk too much. Grab on my waist and put that body on me. Come on now, follow my lead. Come, come on now, follow my lead. I'm in love with the shape of you. We push and pull like a magnet do. Although my heart is falling too. I'm in love with your body. And last night you were in my room. And now my bedsheets smell like you. Every day discovering something brand new. I'm in love with your body. (Oh-I-oh-I-oh-I-oh-I). I'm in love with your body. (Oh-I-oh-I-oh-I-oh-I). I'm in love with your body. (Oh-I-oh-I-oh-I-oh-I). I'm in love with your body. Every day discovering something brand new. I'm in love with the shape of you. One week in we let the story begin. We're going out on our first date. You and me are thrifty, so go all you can eat. Fill up your bag and I fill up a plate. We talk for hours and hours about the sweet and the sour. And how your family is doing okay. And. leave and get in a taxi, then kiss in the backseat. Tell the driver make the radio play, and I'm singing like. Girl, you know I want your love. Your love was handmade for somebody like me. Come on now, follow my lead. I may be crazy, don't mind me. Say, boy, let's not talk too much. Grab on my waist and put that body on me. Come on now, follow my lead. Come, come on now. follow my lead. I'm in love with the shape of you. We push and pull like a magnet do. Although my heart is falling too. I'm in love with your body. And last night you were in my room. And now my bedsheets smell like you. Every day discovering something brand new. I'm in love with your body. (Oh-I-oh-I-oh-I-oh-I). I'm in love with your body. (Oh-I-oh-I-oh-I-oh-I). I'm in love with your body. (Oh-I-oh-I-oh-I-oh-I). I'm in love with your body. Every day discovering something brand new. I'm in love with the shape of you. Come on, be my baby, come on. Come on, be my baby, come on. Come on, be my baby, come on. Come on, be my baby, come on. Come on, be my baby, come. Come on, be my baby, come on. Come on, be my baby, come on. Come on, be my baby, come on. I'm in love with the shape of you. We push and pull like a magnet do. Although my heart is falling too. I'm in love with your body. And last night you were in my room. And now my bedsheets smell like you. Every day discovering something brand new. I'm in love with your body. Come on, be my baby, come on. Come on (I'm in love with your body), be my baby, come on. Come on, be my baby, come on. Come on (I'm in love with your body), be my baby, come on. Come on, be my baby, come on. Come on (I'm in love with your body), be my baby, come on. Every day discovering something brand new. I'm in love with the shape of you","6,127,546,953"
1,Thinking Out Loud,Ed Sheeran,2014,Pop,"When your legs don't work like they used to before. And I can't sweep you off of your feet will your mouth still remember the taste of my love will your eyes still smile from your cheeks and darling I will be loving you 'til we're 70. And baby my heart could still fall as hard at 23. And I'm thinking 'bout how people fall in love in mysterious ways. Maybe just the touch of a hand. Oh me I fall in love with you every single day. And I just wanna tell you I am. So honey now. Take me into your loving arms. Kiss me under the light of a thousand stars. Place your head on my beating heart. I'm thinking out loud. Maybe we found love right where we are. When my hair's all but gone and my memory fades. And the crowds don't remember my name. When my hands don't play the strings the same way, mm. I know you will still love me the same. 'Cause honey your soul can never grow old, it's evergreen. Baby your smile's forever in my mind and memory. I'm thinking 'bout how people fall in love in mysterious ways. Maybe it's all part of a plan. I'll just keep on making the same mistakes Hoping that you'll understand. But baby now. Take me into your loving arms. Kiss me under the light of a thousand stars. Place your head on my beating heart. I'm thinking out loud. That maybe we found love right where we are, oh. So baby now. Take me into your loving arms. Kiss me under the light of a thousand stars. Oh darling, place your head on my beating heart. I'm thinking out loud. That maybe we found love right where we are. Oh baby, we found love right where we are (maybe). And we found love right where we are. And now my bedsheets smell like you. Every day discovering something brand new. I'm in love with your body. (Oh-I-oh-I-oh-I-oh-I). I'm in love with your body. (Oh-I-oh-I-oh-I-oh-I). I'm in love with your body. (Oh-I-oh-I-oh-I-oh-I). I'm in love with your body. Every day discovering something brand new. I'm in love with the shape of you. Come on, be my baby, come on. Come on, be my baby, come on. Come on, be my baby, come on. Come on, be my baby, come on. Come on, be my baby, come. Come on, be my baby, come on. Come on, be my baby, come on. Come on, be my baby, come on. I'm in love with the shape of you. We push and pull like a magnet do. Although my heart is falling too. I'm in love with your body. And last night you were in my room. And now my bedsheets smell like you. Every day discovering something brand new. I'm in love with your body. Come on, be my baby, come on. Come on (I'm in love with your body), be my baby, come on. Come on, be my baby, come on. Come on (I'm in love with your body), be my baby, come on. Come on, be my baby, come on. Come on (I'm in love with your body), be my baby, come on. Every day discovering something brand new. I'm in love with the shape of you","3,686,142,992"
34,Shake It Off,Taylor Swift,2014,Pop,"I stay out too late. Got nothin' in my brain. That's what people say, mm-mm. That's what people say, mm-mm. I go on too many dates. But I can't make 'em stay. At least that's what people say, mm-mm. That's what people say, mm-mm. But I keep cruisin'. Can't stop, won't stop movin'. It's like I got this music. In my mind sayin', ""It's gonna be alright"". 'Cause the players gonna play, play, play, play, play. And the haters gonna hate, hate, hate, hate, hate. Baby, I'm just gonna shake, shake, shake, shake, shake. I shake it off, I shake it off (ooh-ooh-ooh). Heartbreakers gonna break, break, break, break, break. And the fakers gonna fake, fake, fake, fake, fake. Baby,  I'm just gonna shake, shake, shake, shake, shake. I shake it off, I shake it off (ooh-ooh-ooh). I never miss a beat. I'm lightnin' on my feet. And that's what they don't see, mm-mm. That's what they don't see, mm-mm. I'm dancin' on my own (dancin' on my own). I'll make the moves up as I go (moves up as I go). And that's what they don't know, mm-mm. That's what they don't know, mm-mm. But I keep cruisin'. Can't stop, won't stop groovin'. It's like I got this music. In my mind sayin', ""It's gonna be alright"". 'Cause the players gonna play, play, play, play, play. And the haters gonna hate, hate, hate, hate, hate. Baby, I'm just gonna shake, shake, shake, shake, shake. I shake it off, I shake it off (ooh-ooh-ooh). Heartbreakers gonna break, break, break, break, break. And the fakers gonna fake, fake, fake, fake, fake. Baby, I'm just gonna shake, shake, shake, shake, shake. I shake it off, I shake it off (ooh-ooh-ooh). Shake it off, I shake it off. I, I, I shake it off, I shake it off. I, I, I shake it off, I shake it off. I, I, I shake it off, I shake it off (ooh-ooh-ooh)  Hey, hey, hey. Just think, while you've been gettin' down and out. About the liars and the dirty, dirty cheats of the world. You could've been gettin' down to this sick beat. My ex-man brought his new girlfriend. She's like, ""Oh my God, "" but I'm just gonna shake. And to the fella over there with the hella good hair. Won't you come on over, baby? We can shake, shake, shake. Yeah, oh  'Cause the players gonna play, play, play, play, play. And the haters gonna hate, hate, hate, hate, hate (haters gonna hate). Baby, I'm just gonna shake, shake, shake, shake, shake. I shake it off, I shake it off (ooh-ooh-ooh). Heartbreakers gonna break, break, break, break, break (mm-mm). And the fakers gonna fake, fake, fake, fake, fake (and fake, and fake, and fake). Baby, I'm just gonna shake, shake, shake, shake, shake. I shake it off, I shake it off (ooh-ooh-ooh). Shake it off, I shake it off. I, I, I shake it off, I shake it off. I, I, I shake it off, I shake it off  I, I, I shake it off, I shake it off (ooh-ooh-ooh). Shake it off, I shake it off. I, I, I shake it off, I shake it off. (You got to) shake it off, I shake it off. I, I, I shake it off, I shake it off","3,359,729,829"
31,Blank space,Taylor Swift,2014,Pop,"Nice to meet you, where you been?  I could show you incredible things. Magic, madness, heaven, sin. Saw you there and I thought. ""Oh, my God, look at that face. You look like my next mistake. Love's a game, wanna play?"" Ay. New money, suit and tie. I can read you like a magazine. Ain't it funny? Rumors fly. And I know you heard about me. So hey, let's be friends. I'm dying to see how this one ends. Grab your passport and my hand. I can make the bad guys good for a weekend. So it's gonna be forever. Or it's gonna go down in flames. You can tell me when it's over, mm. If the high was worth the pain. Got a long list of ex-lovers. They'll tell you I'm insane. 'Cause you know I love the players. And you love the game. 'Cause we're young, and we're reckless. We'll take this way too far. It'll leave you breathless, mm. Or with a nasty scar. Got a long list of ex-lovers. They'll tell you I'm insane. But I've got a blank space, baby. And I'll write your name. Cherry lips, crystal skies. I could show you incredible things. Stolen kisses, pretty lies. You're the King, baby, I'm your Queen. Find out what you want. Be that girl for a month. Wait, the worst is yet to come, oh, no. Screaming, crying, perfect storms. I can make all the tables turn. Rose garden filled with thorns. Keep you second guessing like. ""Oh, my God, who is she?""  I get drunk on jealousy. But you'll come back each time you leave. 'Cause, darling,  I'm a nightmare dressed like a daydream. So it's gonna be forever. Or it's gonna go down in flames. You can tell me when it's over, mm. If the high was worth the pain. Got a long list of ex-lovers. They'll tell you I'm insane. 'Cause you know I love the players. And you love the game. 'Cause we're young, and we're reckless (oh). We'll take this way too far. It'll leave you breathless, mm (oh). Or with a nasty scar. Got a long list of ex-lovers. They'll tell you I'm insane (insane). But I've got a blank space, baby. And I'll write your name. Boys only want love if it's torture. Don't say I didn't, say I didn't warn ya. Boys only want love if it's torture. Don't say I didn't, say I didn't warn ya. So it's gonna be forever. Or it's gonna go down in flames. You can tell me when it's over (over). If the high was worth the pain. Got a long list of ex-lovers. They'll tell you I'm insane (I'm insane). 'Cause you know I love the players. And you love the game. 'Cause we're young, and we're reckless. We'll take this way too far (ooh). It'll leave you breathless, mm. Or with a nasty scar (leave a nasty scar). Got a long list of ex-lovers. They'll tell you I'm insane. But I've got a blank space, baby. And I'll write your name","3,294,814,684"
80,Treat You Better,Shawn Mendes,2016,Pop,"I won't lie to you. I know he's just not right for you. And you can tell me if I'm off. But I see it on your face. When you say that he's the one that you want. And you're spending all your time. In this wrong situation. And anytime you want it to stop. I know I can treat you better than he can. And any girl like you deserves a gentleman. Tell me, why are we wasting time. On all your wasted crying. When you should be with me instead?  I know I can treat you better. Better than he can. I'll stop time for you  The second you say you'd like me too. I just wanna give you the loving that you're missing. Baby, just to wake up with you. Would be everything I need, and this could be so different. Tell me what you want to do. 'Cause I know I can treat you better than he can. And any girl like you deserves a gentleman. Tell me, why are we wasting time. On all your wasted crying. When you should be with me instead?  I know I can treat you better. Better than he can  Better than he can. Give me a sign. Take my hand, we'll be fine. Promise I won't let you down. Just know that you don't. Have to do this alone. Promise I'll never let you down. 'Cause I know I can treat you better than he can. And any girl like you deserves a gentleman. Tell me, why are we wasting time. On all your wasted crying. When you should be with me instead?  I know I can treat you better. Better than he can, oh. Better than he can. Better than he can","2,406,985,818"
98,Sunflower,Post Malone feat. Swae Lee,2018,Pop/Hip-Hop,"Ayy, ayy, ayy, ayy (ooh). Ooh, ooh, ooh, ooh (ooh). Ayy, ayy. Ooh, ooh, ooh, ooh. Needless to say, I keep her in check. She was a bad-bad, nevertheless (yeah). Callin' it quits now, baby, I'm a wreck (wreck). Crash at my place, baby, you're a wreck (wreck). Needless to say, I'm keeping her in check. She was all bad-bad, nevertheless. Callin' it quits now, baby, I'm a wreck. Crash at my place, baby, you're a wreck. Thinkin' in a bad way, losin' your grip. Screamin' at my face, baby, don't trip. Someone took a big L, don't know how that felt. Lookin' at you sideways, party on tilt. Ooh-ooh-ooh. Some things you just can't refuse. She wanna ride me like a cruise. And I'm not tryna lose. Then you're left in the dust. Unless I stuck by ya. You're the sunflower. I think your love would be too much. Or you'll be left in the dust  Unless I stuck by ya. You're the sunflower. You're the sunflower. Every time I'm leavin' on you (ooh). You don't make it easy, no (no, no). Wish I could be there for you. Give me a reason to, oh (oh). Every time I'm walkin' out. I can hear you tellin' me to turn around. Fightin' for my trust and you won't back down. Even if we gotta risk it all right now, oh (now). I know you're scared of the unknown ('known). You don't wanna be alone (alone). I know I always come and go (and go). But it's out of my control  And you'll be left in the dust. Unless I stuck by ya You're the sunflower  I think your love would be too much Or you'll be left in the dust. Unless I stuck by ya. You're the sunflower. You're the sunflower (yeah)","2,224,985,006"
46,Side To Side,Ariana Grande feat. Nicki Minaj,2016,Pop/R&B,"I've been here all night (Ariana). I've been here all day (Nicki Minaj). And boy, got me walkin' side to side. (Let them hoes know). I'm talkin' to ya. See you standing over there with your body. Feeling like I wanna rock with your body. And we don't gotta think 'bout nothin' ('Bout nothin'). I'm comin' at ya. 'Cause I know you got a bad reputation. Doesn't matter, 'cause you give me temptation. And we don't gotta think 'bout nothin' ('Bout nothin'). These friends keep talkin' way too much. Say I should give you up. Can't hear them no, 'cause I. I've been here all night. I've been here all day. And boy, got me walkin' side to side. I've been here all night. I've been here all day. And boy, got me walkin' side to side (Side to side). Been tryna hide it. Baby what's it gonna hurt if they don't know?  Makin' everybody think that we solo. Just as long as you know you got me (You got me). And boy I got ya. 'Cause tonight I'm making deals with the devil. And I know it's gonna get me in trouble. Just as long as you know you got me  These friends keep talkin' way too much. Say I should give you up. Can't hear them no, 'cause. I've been here all night. I've been here all day. And boy, got me walkin' side to side (Side to side). I've been here all night. (Been here all night, baby). I've been here all day. (Been here all day, baby). And boy, got me walkin' side to side (Side to side). This the new style with the fresh type of flow. Wrist icicle, ride dick bicycle. Come true yo, get you this type of blow. If you wanna menage I got a tricycle. All these bitches, flows is my mini-me. Body smoking, so they call me young Nicki chimney. Rappers in they feelings cause they feelin' me. Uh, I-I give zero fucks and I got zero chill in me. Kissing me, copped the blue box that say Tiffany. Curry with the shot, just tell 'em to call me Stephanie  Gun pop and I make my gum pop. I'm the queen of rap, young Ariana run pop. These friends keep talkin' way too much. Say I should give him up.  Can't hear them no, 'cause I. I've been here all night. I've been here all day. And boy, got me walkin' side to side (Side to side). I've been here all night. (Been here all night baby). I've been here all day. (Been here all day baby). Boy, got me walkin' side to side (Side to side). This the new style with the fresh type of flow. Wrist icicle, ride dick bicycle. Come true yo, get you this type of blow. If you wanna menage I got a tricycle","2,169,111,680"
72,Starboy,The Weeknd,2016,Pop/Electronic,"I'm tryna put you in the worst mood, ah. P1 cleaner than your church shoes, ah. Milli point two just to hurt you, ah. All red LambŐ just to tease you, ah. None of these toys on lease too, ah. Made your whole year in a week too, yah. Main bitch out your league too, ah. Side bitch out of your league too, ah  House so empty, need a centerpiece. 20 racks a table cut from ebony. Cut that ivory into skinny pieces. Then she clean it with her face man I love my baby. You talking money, need a hearing aid. You talking bout me, I don't see the shade. Switch up my style, I take any lane.  I switch up my cup, I kill any pain  Look what you've done. IŐm a motherfuckin' starboy. Look what you've done. I'm a motherfuckin' starboy  Every day a nigga try to test me, ah. Every day a nigga try to end me, ah. Pull off in that Roadster SV, ah. Pockets overweight, gettin' hefty, ah. Coming for the king, that's a far cry, ah. I come alive in the fall time, I. No competition, I don't really listen. IŐm in the blue Mulsanne bumping New Edition  House so empty, need a centerpiece. 20 racks a table cut from ebony. Cut that ivory into skinny pieces. Then she clean it with her face man I love my baby. You talking money, need a hearing aid. You talking bout me, I donŐt see the shade. Switch up my style, I take any lane. I switch up my cup, I kill any pain  Look what you've done.  IŐm a motherfuckin' starboy. Look what you've done. I'm a motherfuckinŐ starboy  Let a nigga brag Pitt. Legend of the fall took the year like a bandit. Bought mama a crib and a brand new wagon.  Now she hit the grocery shop looking lavish. Star. Trek roof in that Wraith of Khan. Girls get loose when they hear this song. 100 on the dash get me close to God. We don't pray for love, we just pray for cars","2,011,726,457"
83,Se–orita,"Shawn Mendes, Camila Cabello",2019,Pop/Latin Pop,"I love it when you call me se–orita. I wish I could pretend I didn't need ya. But every touch is ooh, la-la-la. It's true, la-la-la. Ooh, I should be running. Ooh, you keep me coming for ya. Land in Miami. The air was hot from summer rain. Sweat dripping off me. Before I even knew her name, la-la-la. It felt like ooh, la-la-la. Yeah, no. Sapphire moonlight. We danced for hours in the sand. Tequila sunrise. Her body fit right in my hands, la-la-la. It felt like ooh, la-la-la, yeah. I love it when you call me se–orita. I wish I could pretend I didn't need ya. But every touch is ooh, la-la-la. It's true, la-la-la. Ooh, I should be running. Ooh, you know I love it when you call me se–orita. I wish it wasn't so damn hard to leave ya. But every touch is ooh, la-la-la. It's true, la-la-la. Ooh, I should be running. Ooh, you keep me coming for ya. Locked in the hotel. There's just some things that never change. You say we're just friends. But friends don't know the way you taste, la-la-la. 'Cause you know it's been a long time coming. Don't you let me fall, oh. Ooh, when your lips undress me  Hooked on your tongue. Ooh, love, your kiss is deadly. Don't stop. I love it when you call me se–orita. I wish I could pretend I didn't need ya. But every touch is ooh, la-la-la. It's true, la-la-la. Ooh, I should be running. Ooh, you know I love it when you call me se–orita. I wish it wasn't so damn hard to leave ya. But every touch is ooh, la-la-la. It's true, la-la-la (true, la-la). Ooh, I should be running. Ooh, you keep me coming for ya. All along I've been coming for ya (for ya). And I hope it meant something to ya (ooh). Call my name, I'll be coming for ya. Coming for ya, coming for ya, coming for ya. For ya. For ya (oh, she loves it when I call). For ya. Ooh, I should be running. Ooh, you keep me coming for ya","1,628,450,766"
73,Save Your Tears,The Weeknd,2021,Pop/R&B,"Ooh. Na-na, yeah. I saw you dancing in a crowded room. You look so happy when I'm not with you. But then you saw me, caught you by surprise. A single teardrop falling from your eye. I don't know why I run away. I'll make you cry when I run away. You could've asked me why I broke your heart. You could've told me that you fell apart. But you walked past me like I wasn't there. And just pretended like you didn't care. I don't know why I run away. I'll make you cry when I run away.  Take me back 'cause I wanna stay. Save your tears for another. Save your tears for another day. Save your tears for another day  So, I made you think that I would always stay. I said some things that I should never say. Yeah, I broke your heart like someone did to mine. And now you won't love me for a second time. I don't know why I run away, oh, girl. Said I'll make you cry when I run away. Girl, take me back 'cause I wanna stay  Save your tears for another. I realize that I'm much too late. And you deserve someone better. Save your tears for another day (ooh, yeah). Save your tears for another day (yeah). I don't know why I run away. I'll make you cry when I run away. Save your tears for another day, ooh, girl (ah). I said save your tears for another day (ah).  Save your tears for another day (ah). Save your tears for another day (ah)","1,586,349,988"
